Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
1051,20070122,20240422,119,51.0249,13.775,den-Strehlen,Sachsen
1052,20030316,20240422,80,52.2174,12.1641,ern-Drewitz,Sachsen-Anhalt
1055,20040727,20240422,482,50.6316,8.1813,dorf,Hessen
1056,20051113,20240422,2,53.7118,9.3791,htersen,Niedersachsen
1067,20040503,20240422,95,51.9265,12.3852,n,Sachsen-Anhalt
1072,20040505,20240422,107,49.4719,8.1929,"heim, Bad",Rheinland-Pfalz
1078,19920911,20240422,37,51.296,6.7686,eldorf,Nordrhein-Westfalen
1089,20060605,20240422,197,48.5017,7.9943,ach-Ebersweier,Baden-Württemberg
1093,20130731,20240421,131,49.4593,8.9595,bach,Baden-Württemberg
1103,20060822,20240422,592,48.1003,11.9872,sberg-Halbing,Bayern
1107,20041006,20240422,346,49.852,10.4991,ch,Bayern
1130,20090528,20240422,18,54.6282,9.3649,bek,Schleswig-Holstein
1161,20041129,20240422,385,48.8778,11.2349,stätt-Landershofen,Bayern
1166,20030318,20240422,107,51.4603,12.6687,nburg,Sachsen
1170,20070607,20240422,267,51.8873,9.728,n-Vorwohle,Niedersachsen
1176,20041027,20240422,976,47.9634,8.2693,nbach,Baden-Württemberg
1197,20020829,20240422,463,48.9895,10.1312,angen-Rindelbach,Baden-Württemberg
1200,20051124,20240422,3,54.0691,9.0105,rsbüttel,Schleswig-Holstein
1207,20051221,20240422,558,50.2705,12.2742,"er, Bad-Sohl",Sachsen
1214,20030706,20240422,431,48.2012,8.1088,ch-Fisnacht,Baden-Württemberg
1216,20041222,20240422,312,49.4251,9.243,al-Rittersbach,Baden-Württemberg
1223,20050811,20240422,16,52.5983,6.9449,e-Großringe,Niedersachsen
1224,20021029,20240422,201,48.1378,7.8351,ndingen-Mundingen,Baden-Württemberg
1237,20020909,20240422,507,48.089,12.5073,erting-Spreit,Bayern
1241,20061025,20240422,128,52.15,8.5226,r,Nordrhein-Westfalen
1246,20150701,20240422,104,51.8418,8.0607,gerloh-Ostenfelde,Nordrhein-Westfalen
1255,20020626,20240422,226,49.1661,8.8483,ngen-Elsenz,Baden-Württemberg
1262,19920519,20240422,446,48.3477,11.8134,hen-Flughafen,Bayern
1266,20030911,20240422,18,54.2992,9.3162,e,Schleswig-Holstein
1270,19911104,20240422,316,50.9829,10.9608,rt-Weimar,Thüringen
1278,20071029,20240422,163,52.2449,10.7182,lingen-Destedt,Niedersachsen
1279,20060503,20240422,268,49.6497,11.0075,endorf-Kleinseebach,Bayern
1282,20091214,20240422,565,50.3043,12.3834,ach-Eubabrunn,Sachsen
1290,20050912,20240422,716,48.1868,8.4672,bronn-Mariazell,Baden-Württemberg
1297,20040406,20240422,156,51.2041,10.0138,wege,Hessen
1300,20020912,20240422,351,51.254,8.1565,he,Nordrhein-Westfalen
1303,19940503,20240422,150,51.4041,6.9677,n-Bredeney,Nordrhein-Westfalen
1304,20060319,20240422,48,52.3345,8.3877,"n-Brockhausen, Bad",Niedersachsen
1320,20021104,20240422,137,51.261,11.1754,eben,Thüringen
1327,20040707,20240422,147,50.7119,6.7905,erswist-Lommersum,Nordrhein-Westfalen
1332,20041208,20240422,471,48.4832,12.7241,"enberg,Kr.Rottal-Inn",Bayern
1336,20040728,20240422,67,52.8568,9.6756,"ingbostel, Bad",Niedersachsen
1346,19951026,20240422,1486,47.8748,8.0038,berg/Schwarzwald,Baden-Württemberg
